源编码,源名称,目标编码,目标名称,相似度得分,关系类型,LLM防坑口诀
6-20-02-01,锅炉设备制造工,6-31-01-05,锅炉设备检修工,0.8572,POTENTIALLY_CONFUSED,[锅炉设备制造工]制造是做新锅炉；[锅炉设备检修工]检修是修旧锅炉
6-11-08-10,有机硅生产工,6-12-01-00,化学合成制药工,0.8571,POTENTIALLY_CONFUSED,[有机硅生产工]有机硅产硅；[化学合成制药工]制药工产药，看产品目标
6-09-03-03,陶瓷工艺品制作师,6-15-05,陶瓷制品制造人员,0.8571,POTENTIALLY_CONFUSED,[陶瓷工艺品制作师]工艺品重艺术创作；[陶瓷制品制造人员]制品重工业生产
2-06-11,证券期货基金专业人员,4-05-05,信托和资产管理服务人员,0.857,POTENTIALLY_CONFUSED,[证券期货基金专业人员]侧重交易销售，；[信托和资产管理服务人员]侧重信托管理
2-06-07-05,会展策划专业人员,2-09-06-09,陈列展览设计人员,0.8569,POTENTIALLY_CONFUSED,[会展策划专业人员]重策划组织，；[陈列展览设计人员]重空间设计布置
2-05-08,护理人员,4-14-01-02,医疗护理员,0.8566,POTENTIALLY_CONFUSED,[护理人员]护理人员专业医疗；[医疗护理员]护理员生活照护
2-02-25,气象工程技术人员,4-08-01,气象服务人员,0.8566,POTENTIALLY_CONFUSED,[气象工程技术人员]从事气象探测、研究、预报预测和应用开发；[气象服务人员]从事气象探测和预报的日常执行服务
6-20-03-01,机床装调维修工,6-31-01-10,机电设备维修工,0.8564,POTENTIALLY_CONFUSED,[机床装调维修工]从事气象探测、研究、预报预测和应用开发；[机电设备维修工]从事气象探测和预报的日常执行服务
4-10-01-05,养老护理员,4-14-01-02,医疗护理员,0.8563,POTENTIALLY_CONFUSED,[养老护理员]专为老年人提供生活照料和护理；[医疗护理员]在护士指导下为各类照护人群提供生活护理
6-15-01-02,水泥混凝土制品工,6-29-01-03,混凝土工,0.8562,POTENTIALLY_CONFUSED,[水泥混凝土制品工]专为老年人提供生活照料和护理；[混凝土工]在护士指导下为各类照护人群提供生活护理
2-02-38-09,集成电路工程技术人员S,6-25-02,电子器件制造人员,0.856,POTENTIALLY_CONFUSED,[集成电路工程技术人员S]是研发设计，；[电子器件制造人员]是生产制造
2-06-08,人力资源专业人员,4-07-03-04,企业人力资源管理师,0.856,POTENTIALLY_CONFUSED,[人力资源专业人员]为综合职能及管理，；[企业人力资源管理师]为具体执行操作。
2-02-11-01,电工电器工程技术人员,6-31-01-03,电工,0.8557,POTENTIALLY_CONFUSED,[电工电器工程技术人员]是研发设计，；[电工]是安装维护。
2-02-06-03,化工生产工程技术人员,6-11-01,化工产品生产通用工艺人员,0.8557,POTENTIALLY_CONFUSED,[化工生产工程技术人员]是技术指导与管理，；[化工产品生产通用工艺人员]是具体操作执行。
2-06-07,商务专业人员,4-07-02,商务咨询服务人员,0.8556,POTENTIALLY_CONFUSED,[商务专业人员]侧重综合商务，；[商务咨询服务人员]侧重专业咨询。
2-02-35-02,假肢师,6-21-06,医疗器械制品和康复辅具生产人员,0.8556,POTENTIALLY_CONFUSED,[假肢师]假肢师负责设计适配；[医疗器械制品和康复辅具生产人员]生产人员负责装配
6-11-08-03,化学试剂生产工,6-12-01-00,化学合成制药工,0.8555,POTENTIALLY_CONFUSED,[化学试剂生产工]试剂侧重通用化学品；[化学合成制药工]制药侧重药用成分
2-02-10-08,信息系统运行维护工程技术人员S,4-04-04-01,信息通信网络运行管理员S,0.8555,POTENTIALLY_CONFUSED,[信息系统运行维护工程技术人员S]侧重系统软件开发维护，；[信息通信网络运行管理员S]侧重网络设备运行。
6-18-04-06,工具钳工,6-31-01-02,机修钳工,0.8553,POTENTIALLY_CONFUSED,[工具钳工]工具钳工造具；[机修钳工]机修钳工修机
2-02-20-02,森林培育工程技术人员L,5-02-01,林草种苗繁育人员,0.8552,POTENTIALLY_CONFUSED,[森林培育工程技术人员L]侧重工程管理，；[林草种苗繁育人员]侧重种苗繁育
2-06-10,保险专业人员,4-05-03,保险服务人员,0.8551,POTENTIALLY_CONFUSED,[保险专业人员]从事精算、核保和理赔等专业决策业务；[保险服务人员]从事代理、保全和公估等业务执行工作
2-06-11-06,期货专业人员,4-05-02,证券期货服务人员,0.8551,POTENTIALLY_CONFUSED,[期货专业人员]从事精算、核保和理赔等专业决策业务；[证券期货服务人员]从事代理、保全和公估等业务执行工作
6-11-01-04,制冷工,6-28-02-06,压缩机操作工,0.8549,POTENTIALLY_CONFUSED,[制冷工]制冷工控温降温；[压缩机操作工]压缩机工仅加压输送
2-02-15,道路和水上运输工程技术人员,2-04-02-01,甲板部技术人员,0.8547,POTENTIALLY_CONFUSED,[道路和水上运输工程技术人员]是综合维护，；[甲板部技术人员]是船舶驾驶操作。
6-11-01-01,化工原料准备工,6-17-10-01,硬质合金混合料工,0.8546,POTENTIALLY_CONFUSED,[化工原料准备工]为通用化工配料，；[硬质合金混合料工]为金属粉末合金化。
2-04-02,船舶指挥和引航人员,6-30-04,水上运输设备操作及有关人员,0.8545,POTENTIALLY_CONFUSED,[船舶指挥和引航人员]为指挥、协调及引航，；[水上运输设备操作及有关人员]为水上运输设备的具体操作
2-10-05,翻译人员,4-13-01-08,手语翻译,0.8542,POTENTIALLY_CONFUSED,[翻译人员]包含手语翻译但有区别；[手语翻译]是翻译人员的特指子类
2-02-10,信息和通信工程技术人员,4-04-02,信息通信网络维护人员,0.854,POTENTIALLY_CONFUSED,[信息和通信工程技术人员]侧重研发设计，；[信息通信网络维护人员]侧重安装维护。
1-01-00-02,中国共产党基层组织负责人,1-06-01-03,国有企业中国共产党组织负责人,0.8539,POTENTIALLY_CONFUSED,[中国共产党基层组织负责人]是全行业基层，；[国有企业中国共产党组织负责人]专指国企
2-09-06-05,染织艺术设计人员,4-08-08-02,纺织面料设计师,0.8534,POTENTIALLY_CONFUSED,[染织艺术设计人员]染织侧重艺术风格；[纺织面料设计师]面料侧重组织质地
6-15-02-03,石材生产工,6-29-01-02,石工,0.8534,POTENTIALLY_CONFUSED,[石材生产工]侧重石材作为建筑材料的生产加工，；[石工]重石材作为房屋主体的工程施工。
2-02-23-03,化学纤维工程技术人员,6-13-01,化学纤维原料制造人员,0.8531,POTENTIALLY_CONFUSED,[化学纤维工程技术人员]技术人员搞研发工艺；[化学纤维原料制造人员]制造人员负责生产
2-04-01,飞行人员和领航人员,6-30-03,民用航空设备操作及有关人员,0.8531,POTENTIALLY_CONFUSED,[飞行人员和领航人员]是开飞机的，；[民用航空设备操作及有关人员]是保障飞行的。
2-03-06,兽医兽药技术人员,5-05-02-04,动物检疫检验员,0.8531,POTENTIALLY_CONFUSED,[兽医兽药技术人员]侧重诊疗推广，；[动物检疫检验员]侧重检疫出证。
2-02-30-08,信息管理工程技术人员S,4-04-04-03,信息通信信息化系统管理员S,0.8525,POTENTIALLY_CONFUSED,[信息管理工程技术人员S]侧重规划设计，；[信息通信信息化系统管理员S]侧重运行维护
4-01-02-01,营销员,4-04-01-01,信息通信营业员,0.8523,POTENTIALLY_CONFUSED,[营销员]侧重商品及生产资料的直接销售推广，；[信息通信营业员]负责信息通信营业厅
6-16-02-10,天然气处理工,6-28-02-02,气体深冷分离工,0.8522,POTENTIALLY_CONFUSED,[天然气处理工]侧重天然气净化，；[气体深冷分离工]侧重深冷分离气体
2-02-20-11,园林植物保护工程技术人员L,2-03-03,植物保护技术人员,0.8518,POTENTIALLY_CONFUSED,[园林植物保护工程技术人员L]专攻园林植物，；[植物保护技术人员]涵盖所有植物。
2-02-15-07,视觉航标工程技术人员,4-02-03-05,航标工,0.8518,POTENTIALLY_CONFUSED,[视觉航标工程技术人员]工程技术人员重建设维护；[航标工]航标工重操作值守
2-06-07-05,会展策划专业人员,4-07-07,会议及展览服务人员,0.8515,POTENTIALLY_CONFUSED,[会展策划专业人员]策划者主导方案；[会议及展览服务人员]服务人员执行布展
3-01-02-01,机要员,4-02-07-03,邮件转运员,0.8514,POTENTIALLY_CONFUSED,[机要员]机要员管保密；[邮件转运员]转运员管物流运输
6-23-01,轨道交通运输设备制造人员,6-24-08,电气信号设备装置制造人员,0.8511,POTENTIALLY_CONFUSED,[轨道交通运输设备制造人员]造车，；[电气信号设备装置制造人员]造信号电控设备
2-02-23,纺织服装工程技术人员,6-04-02,纺纱人员,0.851,POTENTIALLY_CONFUSED,[纺织服装工程技术人员]技术人员管工艺；[纺纱人员]纺纱人员做生产
2-09-06-09,陈列展览设计人员,4-08-08-21,会展设计师,0.8509,POTENTIALLY_CONFUSED,[陈列展览设计人员]陈列重策划内容；[会展设计师]会展重商业搭建
6-11-08,专用化学产品生产人员,6-12-01,化学药品原料药制造人员,0.8508,POTENTIALLY_CONFUSED,[专用化学产品生产人员]重专用化学品，；[化学药品原料药制造人员]重原料药
2-02-30-08,信息管理工程技术人员S,4-04-04-06,密码技术应用员S,0.8505,POTENTIALLY_CONFUSED,[信息管理工程技术人员S]管整体信息化，；[密码技术应用员S]专攻密码安全保障。
2-03-07,畜牧与草业技术人员,5-03-03,特种经济动物饲养人员,0.8505,POTENTIALLY_CONFUSED,[畜牧与草业技术人员]技术人员重研究推广；[特种经济动物饲养人员]饲养人员重日常喂养
2-02-18,建筑工程技术人员,6-29-02,土木工程建筑施工人员,0.8505,POTENTIALLY_CONFUSED,[建筑工程技术人员]技术人员重设计管理；[土木工程建筑施工人员]施工人员重现场执行
2-02-32,制药工程技术人员,6-12-03,药物制剂人员,0.8504,POTENTIALLY_CONFUSED,[制药工程技术人员]工程侧重工艺设计；[药物制剂人员]制剂侧重药物生产
2-09-05-05,摄影家,2-10-01-02,摄影记者,0.8504,POTENTIALLY_CONFUSED,[摄影家]从事艺术创作与自我表达；[摄影记者]从事新闻事件记录与报道
2-02-01-03,水工环地质工程技术人员,4-08-07-04,地质调查员L,0.8504,POTENTIALLY_CONFUSED,[水工环地质工程技术人员]侧重工程技术与治理，；[地质调查员L]侧重野外调查与找矿
2-06-07-02,市场营销专业人员,4-06-02-02,房地产策划师,0.8502,POTENTIALLY_CONFUSED,[市场营销专业人员]是通用营销，；[房地产策划师]是房产专项策划
6-10-01-05,石脑油加工工,6-11-02-12,芳香烃生产工,0.8501,POTENTIALLY_CONFUSED,[石脑油加工工]产石脑油等原料/组分，；[芳香烃生产工]专攻芳香烃精制
2-02-02-06,地理国情监测工程技术人员L/S,4-08-04-02,地理信息处理员L,0.85,POTENTIALLY_CONFUSED,[地理国情监测工程技术人员L/S]侧重工程设计与分析，；[地理信息处理员L]侧重数据录入与维护
2-08-03,幼儿园教师,2-08-99,其他教学人员,0.87,POTENTIALLY_CONFUSED,[幼儿园教师]专职幼儿教育保育；[其他教学人员]未归类的其他教学岗位兜底项
2-09-06,工艺美术与创意设计专业人员,2-09-05,美术专业人员,0.87,POTENTIALLY_CONFUSED,[工艺美术与创意设计专业人员]重工艺造型与创意设计；[美术专业人员]重纯造型艺术创作
2-02-30,管理(工业)工程技术人员,2-02-09,电子工程技术人员,0.86,POTENTIALLY_CONFUSED,[管理(工业)工程技术人员]优化生产服务系统与流程；[电子工程技术人员]研发电子硬件产品
2-06-07,商务专业人员,4-02-03,水上运输服务人员,0.86,POTENTIALLY_CONFUSED,[商务专业人员]做营销策划与商务咨询；[水上运输服务人员]从事港口船舶运输服务
6-08-01,印刷人员,4-07-07,会议及展览服务人员,0.86,POTENTIALLY_CONFUSED,[印刷人员]从事制版印刷与印后加工；[会议及展览服务人员]策划布展会展活动
2-06-09,银行专业人员,2-06-11,证券期货基金专业人员,0.86,POTENTIALLY_CONFUSED,[银行专业人员]在储蓄机构做资金存贷业务；[证券期货基金专业人员]做资本市场证券期货交易
2-08-99,其他教学人员,4-01-02,销售人员,0.86,POTENTIALLY_CONFUSED,[其他教学人员]未归类的在校教学岗位；[销售人员]从事生活用品或生产资料销售
2-02-30,管理(工业)工程技术人员,2-02-34,工业(产品)设计工程技术人员,0.86,POTENTIALLY_CONFUSED,[管理(工业)工程技术人员]优化系统流程提升效率；[工业(产品)设计工程技术人员]做工业造型与产品外观设计
2-02-34,工业(产品)设计工程技术人员,2-06-07,商务专业人员,0.85,POTENTIALLY_CONFUSED,[工业(产品)设计工程技术人员]做制造业造型研发与设计；[商务专业人员]做市场营销与商务策划
2-02-10,信息和通信工程技术人员,4-04-05,软件和信息技术服务人员,0.85,POTENTIALLY_CONFUSED,[信息和通信工程技术人员]研究设计通信工程系统；[软件和信息技术服务人员]开发软件提供IT技术服务
2-08-99,其他教学人员,4-13-04,教育服务人员,0.85,POTENTIALLY_CONFUSED,[其他教学人员]未归类的在校教学岗位；[教育服务人员]提供在线学习等教育辅助服务
4-07-03,人力资源服务人员,4-01-02,销售人员,0.85,POTENTIALLY_CONFUSED,[人力资源服务人员]做招聘培训等人力资源服务；[销售人员]做各类商品销售推广
4-13-01,社会文化活动服务人员,4-07-07,会议及展览服务人员,0.85,POTENTIALLY_CONFUSED,[社会文化活动服务人员]做礼仪主持与群众文化指导；[会议及展览服务人员]做会议展览策划与布展
4-01-06,电子商务服务人员,4-01-02,销售人员,0.85,POTENTIALLY_CONFUSED,[电子商务服务人员]专指互联网平台网络销售；[销售人员]涵盖线上线下全渠道销售
