源编码,目标实体,关系类型
4-13-02-06,设计配置,INVOLVES_ACTION
4-13-02-06,操作,INVOLVES_ACTION
4-13-02-06,调音,INVOLVES_ACTION
4-13-02-06,音响系统,TARGETS_OBJECT
4-13-02-06,音响器材,TARGETS_OBJECT
4-13-02-06,声源,TARGETS_OBJECT
4-13-02-06,文艺演出,OPERATES_IN_ENV
4-13-02-06,影视制作,OPERATES_IN_ENV
4-13-02-06,录音制作,OPERATES_IN_ENV
4-13-02-07,安装,INVOLVES_ACTION
4-13-02-07,操作,INVOLVES_ACTION
4-13-02-07,维修,INVOLVES_ACTION
4-13-02-07,灯具,TARGETS_OBJECT
4-13-02-07,调光设备,TARGETS_OBJECT
4-13-02-07,灯光效果,TARGETS_OBJECT
4-13-02-07,影视节目,OPERATES_IN_ENV
4-13-02-07,舞台表演,OPERATES_IN_ENV
4-13-02-08,配置,INVOLVES_ACTION
4-13-02-08,发放,INVOLVES_ACTION
4-13-02-08,管理,INVOLVES_ACTION
4-13-02-08,戏用服装,TARGETS_OBJECT
4-13-02-08,影视节目摄制,OPERATES_IN_ENV
4-13-02-09,操作,INVOLVES_ACTION
4-13-02-09,拍摄,INVOLVES_ACTION
4-13-02-09,整理,INVOLVES_ACTION
4-13-02-09,电视摄像器材,TARGETS_OBJECT
4-13-02-09,电视画面,TARGETS_OBJECT
4-13-02-09,拍摄素材,TARGETS_OBJECT
4-13-02-09,现场,OPERATES_IN_ENV
4-13-03,考古,INVOLVES_ACTION
4-13-03,保护,INVOLVES_ACTION
4-13-03,修复,INVOLVES_ACTION
4-13-03,复制,INVOLVES_ACTION
4-13-03,拓印,INVOLVES_ACTION
4-13-03,文物,TARGETS_OBJECT
4-13-03-01,勘探,INVOLVES_ACTION
4-13-03-01,发掘,INVOLVES_ACTION
4-13-03-01,记录,INVOLVES_ACTION
4-13-03-01,古代遗存,TARGETS_OBJECT
4-13-03-01,出土遗物,TARGETS_OBJECT
4-13-03-01,图纸,TARGETS_OBJECT
4-13-03-01,陆地,OPERATES_IN_ENV
4-13-03-01,水域,OPERATES_IN_ENV
4-13-03-02,调查,INVOLVES_ACTION
4-13-03-02,分析,INVOLVES_ACTION
4-13-03-02,修复,INVOLVES_ACTION
4-13-03-02,文物,TARGETS_OBJECT
4-13-03-02,保护修复方案,TARGETS_OBJECT
4-13-03-02,修复档案,TARGETS_OBJECT
4-13-03-02,实验室,OPERATES_IN_ENV
4-13-03-02,现场,OPERATES_IN_ENV
4-13-04,辅导,INVOLVES_ACTION
4-13-04,指导,INVOLVES_ACTION
4-13-04,在线学习,TARGETS_OBJECT
4-13-04,国防教育,TARGETS_OBJECT
4-13-04,家庭教育,TARGETS_OBJECT
4-13-04-01,管理,INVOLVES_ACTION
4-13-04-01,评价,INVOLVES_ACTION
4-13-04-01,学习规划,TARGETS_OBJECT
4-13-04-01,在线学习班级,TARGETS_OBJECT
4-13-04-01,学习者,TARGETS_OBJECT
4-13-04-01,数字化学习平台,OPERATES_IN_ENV
4-13-04-02,进行教学,INVOLVES_ACTION
4-13-04-02,组织培训,INVOLVES_ACTION
4-13-04-02,国防教育,TARGETS_OBJECT
4-13-04-02,国家安全,TARGETS_OBJECT
4-13-04-02,军事拓展,TARGETS_OBJECT
4-13-04-02,学校,OPERATES_IN_ENV
4-13-04-02,教育培训基地,OPERATES_IN_ENV
4-13-04-03,传授,INVOLVES_ACTION
4-13-04-03,指导,INVOLVES_ACTION
4-13-04-03,策划,INVOLVES_ACTION
4-13-04-03,家庭教育知识,TARGETS_OBJECT
4-13-04-03,家长,TARGETS_OBJECT
4-13-04-03,家校社协同育人活动,TARGETS_OBJECT
4-13-04-04,策划,INVOLVES_ACTION
4-13-04-04,指导,INVOLVES_ACTION
4-13-04-04,研学旅行方案,TARGETS_OBJECT
4-13-04-04,研学活动项目,TARGETS_OBJECT
4-13-04-04,研学资源,TARGETS_OBJECT
4-13-99,文化服务,TARGETS_OBJECT
4-13-99,教育服务,TARGETS_OBJECT
4-14-01,管理,INVOLVES_ACTION
4-14-01,辅助护理,INVOLVES_ACTION
4-14-01,病案,TARGETS_OBJECT
4-14-01,患者,TARGETS_OBJECT
4-14-01-01,整理,INVOLVES_ACTION
4-14-01-01,护理,INVOLVES_ACTION
4-14-01-01,调剂,INVOLVES_ACTION
4-14-01-01,病案资料,TARGETS_OBJECT
4-14-01-01,婴幼儿,TARGETS_OBJECT
4-14-01-01,药品,TARGETS_OBJECT
4-14-01-01,医疗机构,OPERATES_IN_ENV
4-14-01-01,医院药房,OPERATES_IN_ENV
4-14-01-02,观察,INVOLVES_ACTION
4-14-01-02,生活照护,TARGETS_OBJECT
4-14-01-02,临床照护,TARGETS_OBJECT
4-14-01-02,基础护理,TARGETS_OBJECT
4-14-01-03,观察,INVOLVES_ACTION
4-14-01-03,照护,INVOLVES_ACTION
4-14-01-03,照护对象,TARGETS_OBJECT
4-14-01-03,健康问题,TARGETS_OBJECT
4-14-01-03,生活起居,TARGETS_OBJECT
4-14-01-03,家庭,OPERATES_IN_ENV
4-14-01-03,医院,OPERATES_IN_ENV
4-14-01-03,社区,OPERATES_IN_ENV
4-14-01-03,长期护理服务机构,OPERATES_IN_ENV
4-14-01-04,评估,INVOLVES_ACTION
4-14-01-04,诊治,INVOLVES_ACTION
4-14-01-04,康复,INVOLVES_ACTION
4-14-01-04,心肺和相关脏器,TARGETS_OBJECT
4-14-01-04,呼吸治疗设备,TARGETS_OBJECT
4-14-01-04,患者,TARGETS_OBJECT
4-14-01-04,医院,OPERATES_IN_ENV
4-14-02,健康咨询服务,TARGETS_OBJECT
4-14-02,社会组织,OPERATES_IN_ENV
4-14-02,个体,OPERATES_IN_ENV
4-14-02-01,评价,INVOLVES_ACTION
4-14-02-01,指导,INVOLVES_ACTION
4-14-02-01,管理,INVOLVES_ACTION
4-14-02-01,膳食营养状况,TARGETS_OBJECT
4-14-02-01,食谱,TARGETS_OBJECT
4-14-02-01,营养与健康档案,TARGETS_OBJECT
4-14-02-01,社区,OPERATES_IN_ENV
4-14-02-02,监测,INVOLVES_ACTION
4-14-02-02,评估,INVOLVES_ACTION
4-14-02-02,干预,INVOLVES_ACTION
4-14-02-02,健康信息,TARGETS_OBJECT
4-14-02-02,健康风险,TARGETS_OBJECT
4-14-02-02,健康管理计划,TARGETS_OBJECT
4-14-02-03,宣传,INVOLVES_ACTION
4-14-02-03,咨询,INVOLVES_ACTION
4-14-02-03,评估,INVOLVES_ACTION
4-14-02-03,生殖健康知识,TARGETS_OBJECT
4-14-02-03,生育政策,TARGETS_OBJECT
4-14-02-03,生殖健康信息,TARGETS_OBJECT
4-14-02-03,城乡社区,OPERATES_IN_ENV
4-14-02-03,家庭,OPERATES_IN_ENV
4-14-02-03,学校,OPERATES_IN_ENV
4-14-02-03,企事业单位,OPERATES_IN_ENV
4-14-02-04,咨询,INVOLVES_ACTION
4-14-02-04,宣传,INVOLVES_ACTION
4-14-02-04,出生缺陷风险,TARGETS_OBJECT
4-14-02-04,防控管理服务,TARGETS_OBJECT
4-14-02-04,社会资源信息,TARGETS_OBJECT
4-14-02-05,采集,INVOLVES_ACTION
4-14-02-05,评估,INVOLVES_ACTION
4-14-02-05,测量,INVOLVES_ACTION
4-14-02-05,老年人基本信息,TARGETS_OBJECT
4-14-02-05,能力等级,TARGETS_OBJECT
4-14-02-05,综合评估报告,TARGETS_OBJECT
4-14-03,适配,INVOLVES_ACTION
4-14-03,康复辅助器具,TARGETS_OBJECT
4-14-03,助听器,TARGETS_OBJECT
4-14-03,眼镜,TARGETS_OBJECT
4-14-03-01,评估,INVOLVES_ACTION
4-14-03-01,制订,INVOLVES_ACTION
4-14-03-01,调试,INVOLVES_ACTION
4-14-03-01,听功能,TARGETS_OBJECT
4-14-03-01,听力放大方案,TARGETS_OBJECT
4-14-03-01,助听器,TARGETS_OBJECT
4-14-03-02,制作,INVOLVES_ACTION
4-14-03-02,铸造,INVOLVES_ACTION
4-14-03-02,打磨抛光,INVOLVES_ACTION
4-14-03-02,口腔修复体,TARGETS_OBJECT
4-14-03-02,义齿,TARGETS_OBJECT
4-14-03-02,矫治器,TARGETS_OBJECT
4-14-03-03,检查,INVOLVES_ACTION
4-14-03-03,验配,INVOLVES_ACTION
4-14-03-03,指导,INVOLVES_ACTION
4-14-03-03,视力,TARGETS_OBJECT
4-14-03-03,眼镜,TARGETS_OBJECT
4-14-03-03,验光仪器,TARGETS_OBJECT
4-14-03-04,操作,INVOLVES_ACTION
4-14-03-04,加工,INVOLVES_ACTION
4-14-03-04,检验,INVOLVES_ACTION
4-14-03-04,眼镜镜片,TARGETS_OBJECT
4-14-03-04,光学加工设备,TARGETS_OBJECT
4-14-03-04,眼镜,TARGETS_OBJECT
4-14-03-05,评估,INVOLVES_ACTION
4-14-03-05,康复训练,INVOLVES_ACTION
4-14-03-05,指导,INVOLVES_ACTION
4-14-03-05,听障群体,TARGETS_OBJECT
4-14-03-05,康复计划,TARGETS_OBJECT
4-14-03-05,家庭成员,TARGETS_OBJECT
4-14-03-05,康复机构,OPERATES_IN_ENV
4-14-03-05,医疗机构,OPERATES_IN_ENV
4-14-03-05,教育机构,OPERATES_IN_ENV
4-14-03-06,咨询,INVOLVES_ACTION
4-14-03-06,评估,INVOLVES_ACTION
4-14-03-06,指导,INVOLVES_ACTION
4-14-03-06,康复辅助器具,TARGETS_OBJECT
4-14-03-06,功能障碍者,TARGETS_OBJECT
4-14-03-06,环境改造方案,TARGETS_OBJECT
4-14-03-06,社区,OPERATES_IN_ENV
4-14-04,防疫,INVOLVES_ACTION
4-14-04,防病,INVOLVES_ACTION
4-14-04,卫生辅助服务,TARGETS_OBJECT
4-14-04-01,监测,INVOLVES_ACTION
4-14-04-01,控制,INVOLVES_ACTION
4-14-04-01,消除,INVOLVES_ACTION
4-14-04-01,传染病,TARGETS_OBJECT
4-14-04-01,有害微生物,TARGETS_OBJECT
4-14-04-01,病媒生物,TARGETS_OBJECT
4-14-04-01,公共卫生环境,OPERATES_IN_ENV
4-14-04-01,场所,OPERATES_IN_ENV
4-14-04-02,配制,INVOLVES_ACTION
4-14-04-02,消毒,INVOLVES_ACTION
4-14-04-02,保养,INVOLVES_ACTION
4-14-04-02,消毒药剂,TARGETS_OBJECT
4-14-04-02,公共卫生环境,TARGETS_OBJECT
4-14-04-02,消毒设备,TARGETS_OBJECT
4-14-04-02,公共卫生环境,OPERATES_IN_ENV
4-14-04-03,制订,INVOLVES_ACTION
4-14-04-03,卫生管理制度,TARGETS_OBJECT
4-14-04-03,人员健康监测,TARGETS_OBJECT
4-14-04-03,卫生风险分析,TARGETS_OBJECT
4-14-04-03,公共场所,OPERATES_IN_ENV
4-14-04-04,健康档案,TARGETS_OBJECT
4-14-04-04,社群成员,TARGETS_OBJECT
4-14-04-04,公共卫生健康信息,TARGETS_OBJECT
4-14-04-04,社群,OPERATES_IN_ENV
4-14-05,指导,INVOLVES_ACTION
4-14-05,管理,INVOLVES_ACTION
4-14-05,体育健身,TARGETS_OBJECT
4-14-05,场馆,TARGETS_OBJECT
4-14-05,康乐娱乐场所,TARGETS_OBJECT
4-14-05,体育健身和娱乐场所,OPERATES_IN_ENV
4-14-05-01,传授,INVOLVES_ACTION
4-14-05-01,指导,INVOLVES_ACTION
4-14-05-01,运动技能,TARGETS_OBJECT
4-14-05-01,健身计划,TARGETS_OBJECT
4-14-05-01,群众性体育活动,TARGETS_OBJECT
4-14-05-01,运动场地,OPERATES_IN_ENV
4-14-05-02,布置,INVOLVES_ACTION
4-14-05-02,维护,INVOLVES_ACTION
4-14-05-02,保养,INVOLVES_ACTION
4-14-05-02,场地,TARGETS_OBJECT
4-14-05-02,器材,TARGETS_OBJECT
4-14-05-02,设备,TARGETS_OBJECT
4-14-05-02,体育场馆,OPERATES_IN_ENV
4-14-05-03,观察,INVOLVES_ACTION
4-14-05-03,赴救,INVOLVES_ACTION
4-14-05-03,急救,INVOLVES_ACTION
4-14-05-03,游泳者,TARGETS_OBJECT
4-14-05-03,溺水者,TARGETS_OBJECT
4-14-05-03,救生防溺器材,TARGETS_OBJECT
4-14-05-03,游泳场所,OPERATES_IN_ENV
4-14-05-04,指导,INVOLVES_ACTION
4-14-05-04,维护管理,INVOLVES_ACTION
4-14-05-04,服务项目,TARGETS_OBJECT
4-14-05-04,设施器材,TARGETS_OBJECT
4-14-05-04,宾客,TARGETS_OBJECT
4-14-05-04,健身和娱乐场所,OPERATES_IN_ENV
4-14-05-04,游泳池,OPERATES_IN_ENV
4-14-05-04,健身房,OPERATES_IN_ENV
4-14-05-04,保龄球馆,OPERATES_IN_ENV
4-14-05-05,策划,INVOLVES_ACTION
4-14-05-05,开发,INVOLVES_ACTION
4-14-05-05,运动员,TARGETS_OBJECT
4-14-05-05,体育赛事,TARGETS_OBJECT
4-14-05-05,体育组织,TARGETS_OBJECT
4-14-05-05,体育市场,OPERATES_IN_ENV
4-14-05-06,策划,INVOLVES_ACTION
4-14-05-06,维护,INVOLVES_ACTION
4-14-05-06,分析,INVOLVES_ACTION
4-14-05-06,电竞活动,TARGETS_OBJECT
4-14-05-06,媒体渠道,TARGETS_OBJECT
4-14-05-06,商业价值,TARGETS_OBJECT
4-14-05-06,线上,OPERATES_IN_ENV
4-14-05-06,线下,OPERATES_IN_ENV
4-14-05-07,参加,INVOLVES_ACTION
4-14-05-07,训练,INVOLVES_ACTION
4-14-05-07,分析,INVOLVES_ACTION
4-14-05-07,电子竞技项目,TARGETS_OBJECT
4-14-05-07,电竞战队动态,TARGETS_OBJECT
4-14-05-07,电竞游戏,TARGETS_OBJECT
4-14-05-08,巡查,INVOLVES_ACTION
4-14-05-08,救助,INVOLVES_ACTION
4-14-05-08,转移运送,INVOLVES_ACTION
4-14-05-08,滑雪场所,TARGETS_OBJECT
4-14-05-08,滑雪者,TARGETS_OBJECT
4-14-05-08,伤者,TARGETS_OBJECT
4-14-05-08,滑雪场所,OPERATES_IN_ENV
4-14-06,康养服务,TARGETS_OBJECT
4-14-06,休闲服务,TARGETS_OBJECT
4-14-06,森林,OPERATES_IN_ENV
4-14-06-01,评估,INVOLVES_ACTION
4-14-06-01,规划设计,INVOLVES_ACTION
4-14-06-01,组织指导,INVOLVES_ACTION
4-14-06-01,康养方案,TARGETS_OBJECT
4-14-06-01,康养设施,TARGETS_OBJECT
4-14-06-01,健康状况,TARGETS_OBJECT
4-14-06-01,森林,OPERATES_IN_ENV
4-14-06-01,园林,OPERATES_IN_ENV
4-14-06-02,策划,INVOLVES_ACTION
4-14-06-02,分析,INVOLVES_ACTION
4-14-06-02,服务项目,TARGETS_OBJECT
4-14-06-02,客户需求,TARGETS_OBJECT
4-14-06-02,运营数据,TARGETS_OBJECT
4-14-06-02,民宿,OPERATES_IN_ENV
4-14-99,健康服务,TARGETS_OBJECT
4-14-99,体育服务,TARGETS_OBJECT
4-14-99,休闲服务,TARGETS_OBJECT
4-99-00,社会生产服务,TARGETS_OBJECT
4-99-00,生活服务,TARGETS_OBJECT
5-01-01,生产,INVOLVES_ACTION
5-01-01,加工,INVOLVES_ACTION
5-01-01,作物种子(苗),TARGETS_OBJECT
5-01-01,繁育材料,TARGETS_OBJECT
5-01-01-01,培植,INVOLVES_ACTION
5-01-01-01,繁育,INVOLVES_ACTION
5-01-01-01,加工,INVOLVES_ACTION
5-01-01-01,作物种子,TARGETS_OBJECT
5-01-01-01,田地,OPERATES_IN_ENV
5-01-01-02,培育,INVOLVES_ACTION
5-01-01-02,加工,INVOLVES_ACTION
5-01-01-02,管理,INVOLVES_ACTION
5-01-01-02,农作物种苗,TARGETS_OBJECT
5-01-01-02,繁殖材料,TARGETS_OBJECT
5-01-01-02,育苗基质,TARGETS_OBJECT
5-01-01-02,育苗设施,OPERATES_IN_ENV
5-01-02,栽培管理,INVOLVES_ACTION
5-01-02,收获储藏,INVOLVES_ACTION
5-01-02,农林作物,TARGETS_OBJECT
5-01-02,大田,OPERATES_IN_ENV
5-01-02,园艺,OPERATES_IN_ENV
5-01-02-01,耕整,INVOLVES_ACTION
5-01-02-01,栽培,INVOLVES_ACTION
5-01-02-01,收获,INVOLVES_ACTION
5-01-02-01,农作物,TARGETS_OBJECT
5-01-02-01,农田土壤,TARGETS_OBJECT
5-01-02-01,农机具,TARGETS_OBJECT
5-01-02-01,大田,OPERATES_IN_ENV
5-01-02-02,栽培,INVOLVES_ACTION
5-01-02-02,收获,INVOLVES_ACTION
5-01-02-02,维护保养,INVOLVES_ACTION
5-01-02-02,园艺作物,TARGETS_OBJECT
5-01-02-02,园地土壤,TARGETS_OBJECT
5-01-02-02,农机具,TARGETS_OBJECT
5-01-02-02,园艺设施,OPERATES_IN_ENV
5-01-02-02,场所,OPERATES_IN_ENV
5-01-02-03,制作,INVOLVES_ACTION
5-01-02-03,培植,INVOLVES_ACTION
5-01-02-03,采收,INVOLVES_ACTION
5-01-02-03,菌种,TARGETS_OBJECT
5-01-02-03,培养基,TARGETS_OBJECT
5-01-02-03,食用菌产品,TARGETS_OBJECT
5-01-02-03,棚室,OPERATES_IN_ENV
5-01-02-04,育苗,INVOLVES_ACTION
5-01-02-04,栽培,INVOLVES_ACTION
5-01-02-04,采收,INVOLVES_ACTION
5-01-02-04,热带作物,TARGETS_OBJECT
5-01-02-04,种苗,TARGETS_OBJECT
5-01-02-04,农具,TARGETS_OBJECT
5-01-02-04,热带作物种植园,OPERATES_IN_ENV
5-01-02-04,育苗圃,OPERATES_IN_ENV
5-01-02-05,种植,INVOLVES_ACTION
5-01-02-05,采收,INVOLVES_ACTION
5-01-02-05,加工,INVOLVES_ACTION
5-01-02-05,药用植物,TARGETS_OBJECT
5-01-02-05,中药材种子,TARGETS_OBJECT
5-01-02-05,病虫害,TARGETS_OBJECT
5-01-02-05,产地,OPERATES_IN_ENV
5-01-99,生产,INVOLVES_ACTION
5-01-99,农业产品,TARGETS_OBJECT
5-01-99,农业生产场所,OPERATES_IN_ENV
5-02-01,选育,INVOLVES_ACTION
5-02-01,繁殖,INVOLVES_ACTION
5-02-01,培育,INVOLVES_ACTION
5-02-01,林草种子,TARGETS_OBJECT
5-02-01,苗木,TARGETS_OBJECT
5-02-01-00,培育,INVOLVES_ACTION
5-02-01-00,生产,INVOLVES_ACTION
5-02-01-00,防治,INVOLVES_ACTION
5-02-01-00,林草种子,TARGETS_OBJECT
5-02-01-00,种条,TARGETS_OBJECT
5-02-01-00,种苗,TARGETS_OBJECT
5-02-01-00,母树林,OPERATES_IN_ENV
5-02-01-00,种子园,OPERATES_IN_ENV
5-02-01-00,采穗圃,OPERATES_IN_ENV
5-02-01-00,苗圃,OPERATES_IN_ENV
5-02-02,营造林,INVOLVES_ACTION
5-02-02,造林更新,INVOLVES_ACTION
5-02-02,森林抚育,INVOLVES_ACTION
5-02-02,营林试验,INVOLVES_ACTION
5-02-02,森林,TARGETS_OBJECT
5-02-02,林木,TARGETS_OBJECT
5-02-02-00,整地,INVOLVES_ACTION
5-02-02-00,造林,INVOLVES_ACTION
5-02-02-00,抚育,INVOLVES_ACTION
5-02-02-00,种苗,TARGETS_OBJECT
5-02-02-00,林木,TARGETS_OBJECT
5-02-02-00,造林地,TARGETS_OBJECT
5-02-02-00,迹地,OPERATES_IN_ENV
5-02-03,防火,INVOLVES_ACTION
5-02-03,防止破坏,INVOLVES_ACTION
5-02-03,森林资源,TARGETS_OBJECT
5-02-03,森林,OPERATES_IN_ENV
5-02-03-01,巡护,INVOLVES_ACTION
5-02-03-01,报告,INVOLVES_ACTION
5-02-03-01,检查,INVOLVES_ACTION
5-02-03-01,森林资源,TARGETS_OBJECT
5-02-03-01,森林火情,TARGETS_OBJECT
5-02-03-01,护林设施,TARGETS_OBJECT
5-02-03-01,森林,OPERATES_IN_ENV
5-02-03-02,抚育采伐,INVOLVES_ACTION
5-02-03-02,修枝,INVOLVES_ACTION
5-02-03-02,除草,INVOLVES_ACTION
5-02-03-02,林分,TARGETS_OBJECT
5-02-03-02,树木,TARGETS_OBJECT
5-02-03-02,低产林,TARGETS_OBJECT
5-02-03-02,森林经营作业现场,OPERATES_IN_ENV
5-02-04,采伐,INVOLVES_ACTION
5-02-04,装卸,INVOLVES_ACTION
5-02-04,运输,INVOLVES_ACTION
5-02-04,林木,TARGETS_OBJECT
5-02-04-01,伐木,INVOLVES_ACTION
5-02-04-01,打枝,INVOLVES_ACTION
5-02-04-01,造材,INVOLVES_ACTION
5-02-04-01,树木,TARGETS_OBJECT
5-02-04-01,油锯,TARGETS_OBJECT
5-02-04-01,森林,OPERATES_IN_ENV
5-02-04-02,捆木,INVOLVES_ACTION
5-02-04-02,集运,INVOLVES_ACTION
5-02-04-02,操作,INVOLVES_ACTION
5-02-04-02,木材,TARGETS_OBJECT
5-02-04-02,集材拖拉机,TARGETS_OBJECT
5-02-04-02,绞盘机,TARGETS_OBJECT
5-02-04-02,集材道,OPERATES_IN_ENV
5-02-04-03,操作,INVOLVES_ACTION
5-02-04-03,编扎,INVOLVES_ACTION
5-02-04-03,维护,INVOLVES_ACTION
5-02-04-03,出河机,TARGETS_OBJECT
5-02-04-03,原木木排,TARGETS_OBJECT
5-02-04-03,河道,TARGETS_OBJECT
5-02-04-03,河道,OPERATES_IN_ENV
5-02-99,生产,INVOLVES_ACTION
5-02-99,林业,TARGETS_OBJECT
5-03-01,饲养,INVOLVES_ACTION
5-03-01,配种,INVOLVES_ACTION
5-03-01,繁育,INVOLVES_ACTION
5-03-01,种畜,TARGETS_OBJECT
5-03-01,种禽,TARGETS_OBJECT
5-03-01,仔苗,TARGETS_OBJECT
5-03-01-01,监测调控,INVOLVES_ACTION
5-03-01-01,配种,INVOLVES_ACTION
5-03-01-01,繁育,INVOLVES_ACTION
5-03-01-01,家畜,TARGETS_OBJECT
5-03-01-01,种畜,TARGETS_OBJECT
5-03-01-01,精液,TARGETS_OBJECT
5-03-01-02,人工授精,INVOLVES_ACTION
5-03-01-02,孵化,INVOLVES_ACTION
5-03-01-02,采集,INVOLVES_ACTION
5-03-01-02,种禽,TARGETS_OBJECT
5-03-01-02,种蛋,TARGETS_OBJECT
5-03-01-02,精液,TARGETS_OBJECT
5-03-02,喂养,INVOLVES_ACTION
5-03-02,护理,INVOLVES_ACTION
5-03-02,家畜,TARGETS_OBJECT
5-03-02,家禽,TARGETS_OBJECT
5-03-02-01,操作,INVOLVES_ACTION
5-03-02-01,饲喂,INVOLVES_ACTION
5-03-02-01,收集,INVOLVES_ACTION
5-03-02-01,家畜,TARGETS_OBJECT
5-03-02-01,产出品,TARGETS_OBJECT
5-03-02-01,设备,TARGETS_OBJECT
5-03-02-01,圈舍,OPERATES_IN_ENV
5-03-02-02,喂养,INVOLVES_ACTION
5-03-02-02,收集,INVOLVES_ACTION
5-03-02-02,监测,INVOLVES_ACTION
5-03-02-02,家禽,TARGETS_OBJECT
5-03-02-02,蛋品,TARGETS_OBJECT
5-03-02-02,饲养器具,TARGETS_OBJECT
5-03-02-02,禽舍,OPERATES_IN_ENV
5-03-03,繁育,INVOLVES_ACTION
5-03-03,喂养,INVOLVES_ACTION
5-03-03,护理,INVOLVES_ACTION
5-03-03,特种经济动物,TARGETS_OBJECT
5-03-03-01,饲养,INVOLVES_ACTION
5-03-03-01,繁育,INVOLVES_ACTION
5-03-03-01,采集,INVOLVES_ACTION
5-03-03-01,经济昆虫,TARGETS_OBJECT
5-03-03-01,昆虫饲料,TARGETS_OBJECT
5-03-03-01,产出品,TARGETS_OBJECT
5-03-03-01,饲养场所,OPERATES_IN_ENV
5-03-03-02,繁育,INVOLVES_ACTION
5-03-03-02,饲养,INVOLVES_ACTION
5-03-03-02,调控,INVOLVES_ACTION
5-03-03-02,实验动物,TARGETS_OBJECT
5-03-03-02,环境参数,TARGETS_OBJECT
5-03-03-02,动物日粮,TARGETS_OBJECT
5-03-03-02,实验动物养殖场,OPERATES_IN_ENV
5-03-03-03,繁育,INVOLVES_ACTION
5-03-03-03,饲养,INVOLVES_ACTION
5-03-03-03,维护,INVOLVES_ACTION
5-03-03-03,药用动物,TARGETS_OBJECT
5-03-03-03,昆虫,TARGETS_OBJECT
5-03-03-03,养殖设施,TARGETS_OBJECT
5-03-03-03,棚,OPERATES_IN_ENV
5-03-03-03,圈,OPERATES_IN_ENV
5-03-99,生产,INVOLVES_ACTION
5-03-99,畜牧业,TARGETS_OBJECT
5-04-01,繁育,INVOLVES_ACTION
5-04-01,水生动植物苗种,TARGETS_OBJECT
5-04-01-01,繁育,INVOLVES_ACTION
5-04-01-01,培育,INVOLVES_ACTION
5-04-01-01,孵化,INVOLVES_ACTION
5-04-01-01,水生动物苗种,TARGETS_OBJECT
5-04-01-01,亲体,TARGETS_OBJECT
5-04-01-01,生物饵料,TARGETS_OBJECT
5-04-01-01,繁育设施,OPERATES_IN_ENV
5-04-01-01,培育设施,OPERATES_IN_ENV
5-04-01-02,培育,INVOLVES_ACTION
5-04-01-02,管理,INVOLVES_ACTION
5-04-01-02,移植,INVOLVES_ACTION
5-04-01-02,水生植物苗种,TARGETS_OBJECT
5-04-01-02,亲本,TARGETS_OBJECT
5-04-01-02,设施设备,TARGETS_OBJECT
5-04-01-02,苗床,OPERATES_IN_ENV
5-04-01-02,池塘,OPERATES_IN_ENV
5-04-02,饲养,INVOLVES_ACTION
5-04-02,栽培,INVOLVES_ACTION
5-04-02,质量管理,INVOLVES_ACTION
5-04-02,鱼,TARGETS_OBJECT
5-04-02,贝,TARGETS_OBJECT
5-04-02,藻,TARGETS_OBJECT
5-04-02-01,养殖,INVOLVES_ACTION
5-04-02-01,检测,INVOLVES_ACTION
5-04-02-01,捕捞,INVOLVES_ACTION
5-04-02-01,水生动物,TARGETS_OBJECT
5-04-02-01,水质,TARGETS_OBJECT
5-04-02-01,养殖设施,TARGETS_OBJECT
5-04-02-01,池塘,OPERATES_IN_ENV
5-04-02-01,网箱,OPERATES_IN_ENV
5-04-02-01,厂房,OPERATES_IN_ENV
5-04-02-02,栽培,INVOLVES_ACTION
5-04-02-02,收获,INVOLVES_ACTION
5-04-02-02,维护,INVOLVES_ACTION
5-04-02-02,水生植物,TARGETS_OBJECT
5-04-02-02,设施设备,TARGETS_OBJECT
5-04-02-02,苗种,TARGETS_OBJECT
5-04-02-02,池塘,OPERATES_IN_ENV
5-04-02-02,大田,OPERATES_IN_ENV
5-04-02-02,筏架,OPERATES_IN_ENV
5-04-02-03,检查,INVOLVES_ACTION
5-04-02-03,维修,INVOLVES_ACTION
5-04-02-03,采捕,INVOLVES_ACTION
5-04-02-03,水产养殖设施,TARGETS_OBJECT
5-04-02-03,潜水设备,TARGETS_OBJECT
5-04-02-03,水产品,TARGETS_OBJECT
5-04-02-03,水下,OPERATES_IN_ENV
5-04-03,采集,INVOLVES_ACTION
5-04-03,捕捉,INVOLVES_ACTION
5-04-03,捞取,INVOLVES_ACTION
5-04-03,运输,INVOLVES_ACTION
5-04-03,水生动植物,TARGETS_OBJECT
5-04-03,水产品,TARGETS_OBJECT
5-04-03-01,捕捞,INVOLVES_ACTION
5-04-03-01,采收,INVOLVES_ACTION
5-04-03-01,水生动植物产品,TARGETS_OBJECT
5-04-03-01,渔船,TARGETS_OBJECT
5-04-03-01,捕捞网具,TARGETS_OBJECT
5-04-03-01,渔船,OPERATES_IN_ENV
5-04-03-02,操作,INVOLVES_ACTION
5-04-03-02,捕捞,INVOLVES_ACTION
5-04-03-02,维护,INVOLVES_ACTION
5-04-03-02,渔业船舶,TARGETS_OBJECT
5-04-03-02,渔获物,TARGETS_OBJECT
5-04-03-02,捕捞器具,TARGETS_OBJECT
5-04-03-02,渔船,OPERATES_IN_ENV
5-04-03-03,加工,INVOLVES_ACTION
5-04-03-03,操作,INVOLVES_ACTION
5-04-03-03,缝扎,INVOLVES_ACTION
5-04-03-03,网片,TARGETS_OBJECT
