源编码,源名称,目标编码,目标名称,相似度得分,关系类型,LLM防坑口诀
2-04-02,船舶指挥和引航人员,6-30-04,水上运输设备操作及有关人员,0.8545,POTENTIALLY_CONFUSED,指挥引航看管理，设备操作看执行。[船舶指挥和引航人员]为指挥、协调及引航，[水上运输设备操作及有关人员]为水上运输设备的具体操作
2-10-05,翻译人员,4-13-01-08,手语翻译,0.8542,POTENTIALLY_CONFUSED,[翻译人员]包含[手语翻译]，[手语翻译]是[翻译人员]的特指，易混淆。职业大典修订的问题：[翻译人员]不包含[手语翻译]
2-02-10,信息和通信工程技术人员,4-04-02,信息通信网络维护人员,0.854,POTENTIALLY_CONFUSED,[信息和通信工程技术人员]侧重研发设计，[信息通信网络维护人员]侧重安装维护。
1-01-00-02,中国共产党基层组织负责人,1-06-01-03,国有企业中国共产党组织负责人,0.8539,POTENTIALLY_CONFUSED,[中国共产党基层组织负责人]是全行业基层，[国有企业中国共产党组织负责人]专指国企
2-09-06-05,染织艺术设计人员,4-08-08-02,纺织面料设计师,0.8534,POTENTIALLY_CONFUSED,染织侧重艺术风格，面料侧重组织质地。
6-15-02-03,石材生产工,6-29-01-02,石工,0.8534,POTENTIALLY_CONFUSED,生产工重设备加工，石工重手工砌筑。[石材生产工]侧重石材作为建筑材料的生产加工，[石工]重石材作为房屋主体的工程施工。
2-02-23-03,化学纤维工程技术人员,6-13-01,化学纤维原料制造人员,0.8531,POTENTIALLY_CONFUSED,技术人员搞研发工艺，制造人员负责生产。
2-04-01,飞行人员和领航人员,6-30-03,民用航空设备操作及有关人员,0.8531,POTENTIALLY_CONFUSED,[飞行人员和领航人员]是开飞机的，[民用航空设备操作及有关人员]是保障飞行的。
2-03-06,兽医兽药技术人员,5-05-02-04,动物检疫检验员,0.8531,POTENTIALLY_CONFUSED,[兽医兽药技术人员]侧重诊疗推广，[动物检疫检验员]侧重检疫出证。
2-02-30-08,信息管理工程技术人员 S,4-04-04-03,信息通信信息化系统管理员S,0.8525,POTENTIALLY_CONFUSED,[信息管理工程技术人员 S]侧重规划设计，[信息通信信息化系统管理员S]侧重运行维护。[信息管理工程技术人员 S]侧重开发、应用管理，[信息通信信息化系统管理员S]侧重运行维护。
4-01-02-01,营销员,4-04-01-01,信息通信营业员,0.8523,POTENTIALLY_CONFUSED,营销员跑外勤，营业员守店面。[营销员]侧重商品及生产资料的直接销售推广，[信息通信营业员]负责信息通信营业厅的日常接待及销售
6-16-02-10,天然气处理工,6-28-02-02,气体深冷分离工,0.8522,POTENTIALLY_CONFUSED,[天然气处理工]侧重天然气净化，[气体深冷分离工]侧重深冷分离气体
2-02-20-11,园林植物保护工程技术人员 L,2-03-03,植物保护技术人员,0.8518,POTENTIALLY_CONFUSED,[园林植物保护工程技术人员 L]专攻园林植物，[植物保护技术人员]涵盖所有植物。
2-02-15-07,视觉航标工程技术人员,4-02-03-05,航标工,0.8518,POTENTIALLY_CONFUSED,工程技术人员重建设维护，航标工重操作值守。
2-06-07-05,会展策划专业人员,4-07-07,会议及展览服务人员,0.8515,POTENTIALLY_CONFUSED,策划者主导方案，服务人员执行布展
3-01-02-01,机要员,4-02-07-03,邮件转运员,0.8514,POTENTIALLY_CONFUSED,机要员管保密，转运员管物流运输。
6-23-01,轨道交通运输设备制造人员,6-24-08,电气信号设备装置制造人员,0.8511,POTENTIALLY_CONFUSED,[轨道交通运输设备制造人员]造车，[电气信号设备装置制造人员]造信号电控设备。[轨道交通运输设备制造人员]造轨道交通运输设备，[电气信号设备装置制造人员]造信号电控设备
2-02-23,纺织工程技术人员,6-04-02,纺纱人员,0.851,POTENTIALLY_CONFUSED,技术人员管工艺，纺纱人员做生产。
2-09-06-09,陈列展览设计人员,4-08-08-21,会展设计师,0.8509,POTENTIALLY_CONFUSED,陈列重策划内容，会展重商业搭建。
6-11-08,专用化学产品生产人员,6-12-01,化学药品原料药制造人员,0.8508,POTENTIALLY_CONFUSED,专用化学品看用途，原料药看药典。[专用化学产品生产人员]重专用化学品，[化学药品原料药制造人员]重原料药
2-02-30-08,信息管理工程技术人员 S,4-04-04-06,密码技术应用员S,0.8505,POTENTIALLY_CONFUSED,[信息管理工程技术人员 S]管整体信息化，[密码技术应用员S]专攻密码安全保障。
2-03-07,畜牧与草业技术人员,5-03-03,特种经济动物饲养人员,0.8505,POTENTIALLY_CONFUSED,技术人员重研究推广，饲养人员重日常喂养
2-02-18,建筑工程技术人员,6-29-02,土木工程建筑施工人员,0.8505,POTENTIALLY_CONFUSED,技术人员重设计管理，施工人员重现场执行
2-02-32,制药工程技术人员,6-12-03,药物制剂人员,0.8504,POTENTIALLY_CONFUSED,工程侧重工艺设计，制剂侧重药物生产。
2-09-05-05,摄影家,2-10-01-02,摄影记者,0.8504,POTENTIALLY_CONFUSED,艺术创作对比新闻报道
2-02-01-03,水工环地质工程技术人员,4-08-07-04,地质调查员L,0.8504,POTENTIALLY_CONFUSED,[水工环地质工程技术人员]侧重工程技术与治理，[地质调查员L]侧重野外调查与找矿
2-06-07-02,市场营销专业人员,4-06-02-02,房地产策划师,0.8502,POTENTIALLY_CONFUSED,[市场营销专业人员]是通用营销，[房地产策划师]是房产专项策划
6-10-01-05,石脑油加工工,6-11-02-12,芳香烃生产工,0.8501,POTENTIALLY_CONFUSED,[石脑油加工工]产原料/组分，[芳香烃生产工]专攻芳香烃精制。[石脑油加工工]产石脑油等原料/组分，[芳香烃生产工]专攻芳香烃精制
2-02-02-06,地理国情监测工程技术人员 L/S,4-08-04-02,地理信息处理员L,0.85,POTENTIALLY_CONFUSED,[地理国情监测工程技术人员 L/S]侧重工程设计与分析，[地理信息处理员L]侧重数据录入与维护
